일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
42345.58333,,,,,
42345.625,,,,,
42345.66667,,,,,
42345.70833,,,,,
42345.75,,,,,
42345.79167,,,,,
42345.83333,,,,,
42345.875,,,,,
42345.91667,,,,,
42345.95833,,,,,
42346,,,,,
42353.45833,17.7,0.7,0.4,0.3,4.5
42353.5,17.6,0.5,0.4,0.2,4.6
42353.54167,17.4,0.6,0.3,0.2,4.4
42353.58333,17.4,0.5,0.4,0.2,4.8
42353.625,17.4,0.5,0.3,0.2,4.5
42353.66667,17.5,0.6,0.4,0.2,4.5
42353.70833,17.6,0.5,0.4,0.2,4.4
42353.75,17.6,0.6,0.4,0.2,4.8
42353.79167,17.8,0.5,0.4,0.2,4.7
42353.83333,17.8,0.5,0.4,0.2,4.9
42353.875,17.7,0.5,0.4,0.2,4.8
42353.91667,17.7,0.6,0.4,0.3,5.2
42353.95833,17.7,0.4,0.3,0.2,5
42354,17.7,0.4,0.3,0.2,5.3
42354.04167,17.6,0.3,0.2,0.1,5.3
42354.08333,17.6,0.4,0.3,0.2,4.9
42354.125,17.5,0.4,0.3,0.2,5
42354.16667,17.4,0.4,0.2,0.2,4.5
42354.20833,17.4,0.4,0.2,0.1,4.2
42354.25,17.5,0.4,0.2,0.2,4
42354.29167,17.4,0.4,0.3,0.2,4.6
42354.33333,17.4,0.4,0.3,0.2,4
42354.375,17.4,0.4,0.3,0.2,4.4
42354.41667,17.6,0.6,0.3,0.2,4.9
42354.45833,17.5,0.5,0.3,0.2,4.9
42354.5,17.5,0.5,0.3,0.2,4.9
42354.54167,17.6,0.5,0.4,0.2,5.2
42354.58333,17.7,0.8,0.5,0.3,5.2
42354.625,17.6,0.8,0.5,0.3,6.4
42354.66667,17.6,0.7,0.5,0.3,5.9
